rho	mt	ms	pve	alpha	power
25	25	25	0.8	1e-05	0.125
25	25	25	0.9	0.05	0.935
25	25	25	0.9	0.001	0.62
25	25	25	0.9	1e-05	0.2
25	25	25	1	0.05	0.965
25	25	25	1	0.001	0.655
25	25	25	1	1e-05	0.27
50	25	25	0.1	0.05	0.265
50	25	25	0.1	0.001	0.03
50	25	25	0.1	1e-05	0
50	25	25	0.2	0.05	0.415
50	25	25	0.2	0.001	0.08
50	25	25	0.2	1e-05	0
50	25	25	0.3	0.05	0.53
50	25	25	0.3	0.001	0.115
50	25	25	0.3	1e-05	0.01
50	25	25	0.4	0.05	0.585
50	25	25	0.4	0.001	0.185
50	25	25	0.4	1e-05	0.035
50	25	25	0.5	0.05	0.74
50	25	25	0.5	0.001	0.325
50	25	25	0.5	1e-05	0.05
50	25	25	0.6	0.05	0.8
50	25	25	0.6	0.001	0.34
50	25	25	0.6	1e-05	0.065
50	25	25	0.7	0.05	0.835
50	25	25	0.7	0.001	0.455
50	25	25	0.7	1e-05	0.1
50	25	25	0.8	0.05	0.92
50	25	25	0.8	0.001	0.57
50	25	25	0.8	1e-05	0.175
50	25	25	0.9	0.05	0.95
50	25	25	0.9	0.001	0.645
50	25	25	0.9	1e-05	0.26
50	25	25	1	0.05	0.99
50	25	25	1	0.001	0.75
50	25	25	1	1e-05	0.31
75	25	25	0.1	0.05	0.26
75	25	25	0.1	0.001	0.03
75	25	25	0.1	1e-05	0
75	25	25	0.2	0.05	0.375
75	25	25	0.2	0.001	0.045
75	25	25	0.2	1e-05	0
75	25	25	0.3	0.05	0.555
75	25	25	0.3	0.001	0.13
75	25	25	0.3	1e-05	0.005
75	25	25	0.4	0.05	0.69
75	25	25	0.4	0.001	0.185
75	25	25	0.4	1e-05	0.025
75	25	25	0.5	0.05	0.805
75	25	25	0.5	0.001	0.295
75	25	25	0.5	1e-05	0.06
75	25	25	0.6	0.05	0.89
75	25	25	0.6	0.001	0.425
75	25	25	0.6	1e-05	0.115
75	25	25	0.7	0.05	0.89
75	25	25	0.7	0.001	0.54
75	25	25	0.7	1e-05	0.155
75	25	25	0.8	0.05	0.945
75	25	25	0.8	0.001	0.575
75	25	25	0.8	1e-05	0.2
