n0	rho	mt	ms	pve	Parameter	N	Bias	ModelVar	EmpiricalVar
1000	75	25	25	0	S22	2000	0.995304031995456	0.00122595908184303	0.00102241594658794
1000	0	25	50	0	b.biv	2000	0.00072480519589894	0.000502013231995338	0.000523305948319602
1000	0	25	50	0	b.uni	2000	0.000724821422767742	0.000503278085951884	0.000522949399684372
1000	0	25	50	0	a	2000	-0.00039468662559601	0.000754783806260434	0.000771004161235239
1000	0	25	50	0	S11	2000	0.995415099269296	0.00066105827542315	0.000652403355943937
1000	0	25	50	0	S12	2000	-0.000164736030665848	0.00099034972529642	0.000990461477227939
1000	0	25	50	0	S22	2000	0.996408311497532	0.00099395244957304	0.000981908055352765
1000	25	25	50	0	b.biv	2000	-4.423192761204e-05	0.000499075946607467	0.000505677840071587
1000	25	25	50	0	b.uni	2000	-2.99414873097405e-05	0.000505726074361946	0.000508446546884392
1000	25	25	50	0	a	2000	-0.00116191284661691	0.000738648693489181	0.000693058265798642
1000	25	25	50	0	S11	2000	0.998234694761861	0.000664286652311603	0.000633652288821924
1000	25	25	50	0	S12	2000	0.249927914645908	0.0009134038061107	0.000804210964753277
1000	25	25	50	0	S22	2000	0.994156041291924	0.000987775555166011	0.000796104863621985
1000	50	25	50	0	b.biv	2000	0.000243575876837845	0.000479727683054704	0.000469736384293453
1000	50	25	50	0	b.uni	2000	0.000279432815653251	0.000504120419646164	0.000487199411413551
1000	50	25	50	0	a	2000	-0.000747787954146476	0.000686422877968707	0.000756645663328675
1000	50	25	50	0	S11	2000	0.99713719458721	0.000656013918022731	0.000639774094968564
1000	50	25	50	0	S12	2000	0.501533122866646	0.000734297157321025	0.000614693122855509
1000	50	25	50	0	S22	2000	0.998816966486363	0.000976611339313574	0.000886324018600512
1000	75	25	50	0	b.biv	2000	0.000758149521344411	0.000445922972378262	0.000444636338995333
1000	75	25	50	0	b.uni	2000	0.000906837922045254	0.000505390574923684	0.000492316423839758
1000	75	25	50	0	a	2000	0.00022342968843777	0.000582371204856512	0.000587375744582061
1000	75	25	50	0	S11	2000	0.999610791068664	0.000626767985357002	0.000562799424357785
1000	75	25	50	0	S12	2000	0.751239685646392	0.000565564825765344	0.000473681074141772
1000	75	25	50	0	S22	2000	0.999350100604732	0.000880171538609892	0.000797117185597831
1000	0	50	0	0	b.biv	2000	0.00012181557718086	0.00154455223692778	0.00149312293067888
1000	0	50	0	0	b.uni	2000	0.000121201442958339	0.00154380326503918	0.00149364606033082
