rho	mt	ms	EmpirialRE	ExpectedRE
0.5	0.25	0.25	1.06166738971712	1.06060606060606
0.5	0.25	0.25	1.09927432434974	1.06060606060606
0.75	0.25	0.25	1.11573771215149	1.15384615384615
0.75	0.25	0.25	1.09853841410687	1.15384615384615
0.75	0.25	0.25	1.25203739490488	1.15384615384615
0.75	0.25	0.25	1.15685379733249	1.15384615384615
0.75	0.25	0.25	1.15208927618698	1.15384615384615
0.75	0.25	0.25	1.11380202400966	1.15384615384615
0.75	0.25	0.25	1.11248992618864	1.15384615384615
0.75	0.25	0.25	1.14137484462239	1.15384615384615
0.75	0.25	0.25	1.14962917001087	1.15384615384615
0.75	0.25	0.25	1.10952769247584	1.15384615384615
0	0.25	0.5	0.998259269257046	1
0	0.25	0.5	1.00291839092125	1
0	0.25	0.5	0.998729185274591	1
0	0.25	0.5	0.999956860693584	1
0	0.25	0.5	1.00002308075638	1
0	0.25	0.5	1.00033999949516	1
0	0.25	0.5	0.998092013953512	1
0	0.25	0.5	0.999847804406836	1
0	0.25	0.5	0.999243988339816	1
0	0.25	0.5	1.00238594675542	1
0.25	0.25	0.5	1.0484807731632	1.01075268817204
0.25	0.25	0.5	1.00125852051375	1.01075268817204
0.25	0.25	0.5	1.04380408454641	1.01075268817204
0.25	0.25	0.5	0.999081958892553	1.01075268817204
0.25	0.25	0.5	0.971183204363038	1.01075268817204
0.25	0.25	0.5	0.989797125055259	1.01075268817204
0.25	0.25	0.5	1.03511837804953	1.01075268817204
0.25	0.25	0.5	1.04005502086158	1.01075268817204
0.25	0.25	0.5	1.0130798892223	1.01075268817204
0.25	0.25	0.5	1.01450998251441	1.01075268817204
0.5	0.25	0.5	0.995788486601531	1.04761904761905
0.5	0.25	0.5	1.01057702602723	1.04761904761905
0.5	0.25	0.5	1.09050249406184	1.04761904761905
0.5	0.25	0.5	1.02456146392495	1.04761904761905
0.5	0.25	0.5	1.07212422868056	1.04761904761905
0.5	0.25	0.5	1.02528494579367	1.04761904761905
0.5	0.25	0.5	1.02568361798249	1.04761904761905
0.5	0.25	0.5	1.07589280460326	1.04761904761905
0.5	0.25	0.5	1.06112251263741	1.04761904761905
0.5	0.25	0.5	1.00570857899134	1.04761904761905
0.75	0.25	0.5	1.16694292096663	1.1304347826087
0.75	0.25	0.5	1.17459054779411	1.1304347826087
0.75	0.25	0.5	1.12795263711831	1.1304347826087
